206
124.99	6.69e-18
125.20	6.14e-18
125.44	5.68e-18
125.68	5.41e-18
125.84	5.15e-18
126.22	5.04e-18
126.46	4.72e-18
126.71	4.48e-18
126.98	4.59e-18
127.25	4.82e-18
127.36	4.34e-18
127.67	4.77e-18
127.92	5.01e-18
128.00	4.79e-18
128.22	5.09e-18
128.42	5.38e-18
128.73	5.73e-18
129.21	5.99e-18
129.38	6.38e-18
129.50	6.73e-18
129.61	7.32e-18
129.70	7.87e-18
129.79	8.56e-18
129.91	9.25e-18
130.14	1.01e-17
130.34	1.10e-17
130.46	1.18e-17
130.52	1.28e-17
130.58	1.34e-17
130.64	1.43e-17
130.87	1.37e-17
130.96	1.30e-17
130.99	1.28e-17
131.19	1.23e-17
131.31	1.27e-17
131.46	1.30e-17
131.57	1.34e-17
131.78	1.39e-17
132.05	1.32e-17
132.16	1.28e-17
132.34	1.24e-17
132.58	1.30e-17
132.67	1.35e-17
132.73	1.41e-17
132.89	1.46e-17
133.04	1.48e-17
133.28	1.45e-17
133.49	1.43e-17
133.61	1.48e-17
133.73	1.52e-17
133.86	1.58e-17
133.98	1.54e-17
134.16	1.49e-17
134.37	1.54e-17
134.56	1.58e-17
134.80	1.52e-17
134.93	1.47e-17
135.02	1.43e-17
135.11	1.37e-17
135.17	1.31e-17
135.38	1.27e-17
135.70	1.28e-17
135.88	1.24e-17
135.94	1.18e-17
136.03	1.11e-17
136.13	1.03e-17
136.19	9.32e-18
136.37	8.34e-18
136.59	7.49e-18
136.78	6.79e-18
137.00	6.20e-18
137.19	5.72e-18
137.51	5.73e-18
137.73	5.36e-18
138.02	5.06e-18
138.28	4.77e-18
138.80	4.52e-18
139.52	4.39e-18
140.29	4.36e-18
141.09	4.30e-18
141.87	4.19e-18
142.66	4.09e-18
143.43	3.93e-18
144.17	3.77e-18
144.91	3.61e-18
145.59	3.37e-18
146.31	3.17e-18
147.04	2.96e-18
147.78	2.74e-18
148.52	2.51e-18
149.20	2.29e-18
150.03	2.11e-18
150.80	1.91e-18
151.66	1.78e-18
152.48	1.67e-18
153.39	1.54e-18
154.36	1.45e-18
155.25	1.33e-18
156.12	1.18e-18
157.11	1.13e-18
158.13	1.00e-18
159.11	9.23e-19
160.10	9.24e-19
161.11	8.61e-19
162.18	8.62e-19
163.21	9.59e-19
164.30	9.28e-19
165.41	9.62e-19
166.49	9.79e-19
167.58	1.01e-18
168.73	9.97e-19
169.90	9.82e-19
171.03	9.68e-19
172.23	9.37e-19
173.40	9.38e-19
174.53	9.23e-19
175.73	8.76e-19
176.94	8.45e-19
178.17	7.98e-19
179.47	7.67e-19
180.80	7.53e-19
182.08	7.22e-19
183.50	7.07e-19
184.88	6.60e-19
186.05 6.22e-19
187.80 5.76e-19
189.58 5.26e-19
191.39 4.77e-19
193.24 4.29e-19
195.13 3.85e-19
197.05 3.49e-19
199.01 3.24e-19
201.01 3.15e-19
203.05 3.26e-19
205.13 3.63e-19
207.26 4.33e-19
209.43 5.39e-19
211.65 6.93e-19
213.91 9.03e-19
216.22 1.18e-18
218.59 1.54e-18
221.00 1.99e-18
223.47 2.55e-18
226.00 3.22e-18
228.58 4.01e-18
231.22 4.90e-18
233.93 5.90e-18
236.69 6.93e-18
239.53 8.02e-18
242.43 9.08e-18
245.41 1.00e-17
248.46 1.08e-17
251.58 1.13e-17
254.79 1.15e-17
258.08 1.12e-17
261.45 1.06e-17
264.91 9.68e-18
268.47 8.40e-18
272.12 6.98e-18
275.88 5.47e-18
279.73 4.06e-18
283.70 2.82e-18
287.78 1.84e-18
291.99 1.13e-18
296.31 6.51e-19
299.00 4.52e-19
300.00 3.92e-19
301.00 3.43e-19
302.00 3.03e-19
303.00 2.62e-19
304.00 2.34e-19
305.00 2.01e-19
306.00 1.79e-19
307.00 1.55e-19
308.00 1.35e-19
309.00 1.22e-19
310.00 1.02e-19
311.00 9.24e-20
312.00 7.95e-20
313.00 6.91e-20
314.00 6.25e-20
315.00 5.19e-20
316.00 4.77e-20
317.00 4.02e-20
318.00 3.72e-20
319.00 2.89e-20
320.00 2.99e-20
321.00 2.10e-20
322.50 2.05e-20
324.50 1.41e-20
326.50 1.01e-20
330.00 6.97e-21
335.00 3.20e-21
340.00 1.46e-21
345.00 7.79e-22
350.00 3.06e-22
355.00 1.36e-22
360.00 6.94e-23
365.00 3.05e-23
370.00 1.30e-23
375.00 8.50e-24
380.00 5.72e-24
385.00 5.42e-24
390.00 6.68e-24
395.00 9.56e-24
400.00 1.15e-23
